iter	RMSE
0	7.928781675
1	7.372240841
2	6.855071433
3	6.378837724
4	5.942625244
5	5.540891999
6	5.170738266
7	4.833422091
8	4.520644587
9	4.233164072
10	3.970498331
11	3.731566452
12	3.514067968
13	3.313875217
14	3.1318204
15	2.967888922
16	2.818586574
17	2.683108996
18	2.561622076
19	2.452046379
20	2.354704175
21	2.267687784
22	2.189516779
23	2.122651945
24	2.061407171
25	2.0077096
26	1.959334573
27	1.916482826
28	1.879267438
29	1.845479789
30	1.817051674
31	1.792333141
32	1.771047393
33	1.751780943
34	1.735664035
35	1.720838645
36	1.707933947
37	1.697132346
38	1.68771382
39	1.680030742
40	1.672859039
41	1.666316618
42	1.660806717
43	1.65585036
44	1.651721523
45	1.648100618
46	1.645105937
47	1.64246097
48	1.640249836
49	1.638118815
50	1.636403355
51	1.63490633
52	1.63358945
53	1.632298784
54	1.631294349
55	1.630264172
56	1.629338302
57	1.628589385
58	1.628017789
59	1.627389095
60	1.626878704
61	1.62646973
62	1.626150404
63	1.625846642
64	1.625473947
65	1.62518284
66	1.625021424
67	1.624729811
68	1.624477389
69	1.624291312
70	1.624120029
71	1.624020577
72	1.623827132
73	1.623688162
74	1.623598414
75	1.623502713
76	1.623359865
77	1.623254487
78	1.623155294
79	1.622988457
80	1.622858697
81	1.622726541
82	1.622654683
83	1.622587085
84	1.622500898
85	1.622407024
86	1.622369657
87	1.622324247
88	1.62227432
89	1.622172465
90	1.622060062
91	1.622001873
92	1.621970954
93	1.621922774
94	1.621807068
95	1.62171191
96	1.6216785
97	1.621609874
98	1.621549568
99	1.621501182
100	1.62141254
101	1.621402255
102	1.621351543
103	1.621337715
104	1.621287458
105	1.621247395
106	1.621211925
107	1.621157679
108	1.621097963
109	1.621037159
110	1.620982262
111	1.620903077
112	1.620841046
113	1.620774587
114	1.62072758
115	1.620659447
116	1.620647724
117	1.620614678
118	1.620562267
119	1.620544783
120	1.620472899
121	1.620430284
122	1.620407072
123	1.620350764
124	1.620260602
125	1.620221385
126	1.620164355
127	1.620120294
128	1.620079267
129	1.620032116
130	1.620002938
131	1.619963424
132	1.619932101
133	1.619898743
134	1.619854419
135	1.619830238
136	1.619808352
137	1.619741761
138	1.619701313
139	1.619654132
140	1.619613494
141	1.619575361
142	1.619523105
143	1.619493633
144	1.619463521
145	1.619441323
146	1.619387187
147	1.619313174
148	1.619266607
149	1.619232849
150	1.619203266
151	1.619147394
152	1.619096494
153	1.619046814
154	1.619020226
155	1.618987173
156	1.618956212
157	1.618873943
158	1.618813984
159	1.61875118
160	1.618687164
161	1.618652963
162	1.6186027
163	1.618555182
164	1.618525646
165	1.61847626
166	1.618436408
167	1.618397894
168	1.618364911
169	1.618323993
170	1.61829194
171	1.618221438
172	1.618173833
173	1.618144767
174	1.618105203
175	1.618040104
176	1.618007693
177	1.617985787
178	1.617952065
179	1.617902254
180	1.617868925
181	1.617819475
182	1.617778497
183	1.617737556
184	1.61771656
185	1.617673796
186	1.617617492
187	1.617574206
188	1.61755994
189	1.617516387
190	1.617482844
191	1.617463068
192	1.617446802
193	1.617409676
194	1.617363998
195	1.617347794
196	1.617323243
197	1.617295647
198	1.617249195
199	1.617203895
200	1.617155993
201	1.617111126
202	1.617099352
203	1.617073634
204	1.617032125
205	1.61699922
206	1.616973786
207	1.616954259
208	1.616918392
209	1.616896357
210	1.616863211
211	1.616851739
212	1.616816177
213	1.616782191
214	1.616751092
215	1.61671674
216	1.61666682
217	1.616633186
218	1.616602717
219	1.616572349
220	1.616543834
221	1.616520094
222	1.616492493
223	1.616462685
224	1.616447774
225	1.616434533
226	1.616406598
227	1.616397728
228	1.616371762
229	1.616350016
230	1.616327938
231	1.616290973
232	1.616260495
233	1.616233702
234	1.616197219
235	1.616178697
236	1.616162015
237	1.616136623
238	1.616102551
239	1.616070626
240	1.616054612
241	1.616033369
242	1.616016931
243	1.615999481
244	1.615959856
245	1.615950756
246	1.615939117
247	1.615920857
248	1.61589929
249	1.615882257
250	1.615862964
251	1.615851046
252	1.615842742
253	1.61583636
254	1.615820484
255	1.615804596
256	1.61580078
257	1.615775898
258	1.615752063
259	1.615730831
260	1.615707775
261	1.615693445
262	1.61567427
263	1.615656257
264	1.615644674
265	1.615612778
266	1.615591087
267	1.615568375
268	1.615552675
269	1.615525303
270	1.615505136
271	1.615492049
272	1.615477491
273	1.615471317
274	1.615464274
275	1.615439608
276	1.615433985
277	1.615423127
278	1.615404108
279	1.615372319
280	1.615358329
281	1.615350887
282	1.615333175
283	1.615322447
284	1.615312029
285	1.61529845
286	1.615272207
287	1.615261908
288	1.615255103
289	1.61523454
290	1.61521204
291	1.615197324
292	1.615182741
293	1.615174368
294	1.615155448
295	1.615146915
296	1.615140655
297	1.615121776
298	1.615097317
299	1.615079422
300	1.615065381
301	1.615061565
302	1.615038194
303	1.615018668
304	1.615001523
305	1.614988572
306	1.614968043
307	1.614954593
308	1.614942167
309	1.614937077
310	1.614933743
311	1.614926531
312	1.614909981
313	1.614895873
314	1.614877698
315	1.614868216
316	1.614849732
317	1.614838822
318	1.61483546
319	1.614818938
320	1.6148065
321	1.614795542
322	1.61477757
323	1.614766912
324	1.614761576
325	1.614745374
326	1.614730868
327	1.614721005
328	1.61470772
329	1.614699129
330	1.614686503
331	1.614676054
332	1.614673143
333	1.614663736
334	1.614659801
335	1.614656876
336	1.614650481
337	1.614647308
338	1.614645356
339	1.614637937
340	1.614629056
341	1.614624197
342	1.614621448
343	1.614606182
344	1.614603448
345	1.614593137
346	1.614579223
347	1.614568481
348	1.614565639
349	1.614556499
350	1.614550019
351	1.614542905
352	1.614536115
353	1.614524386
354	1.61452272
355	1.61451309
356	1.614495815
357	1.614490345
358	1.614475707
359	1.614462658
360	1.614458631
361	1.61445191
362	1.61444178
363	1.614438804
364	1.614427907
365	1.614415392
366	1.614408219
367	1.614402946
368	1.614393736
369	1.614389046
370	1.614384829
371	1.614375237
372	1.614362094
373	1.614359783
374	1.614356493
375	1.614349887
376	1.614347859
377	1.614338459
378	1.614331962
379	1.614319006
380	1.614306809
381	1.614296695
382	1.614291928
383	1.614285984
384	1.614284634
385	1.614276802
386	1.614261981
387	1.614254324
388	1.614249875
389	1.614237796
390	1.614229912
391	1.614220997
392	1.614219341
393	1.614216727
394	1.614208979
395	1.614204402
396	1.614198769
397	1.614190048
398	1.614182603
399	1.614170875
400	1.614163555
401	1.614157787
402	1.614150351
403	1.614139808
404	1.614132108
405	1.614128688
406	1.614122475
407	1.614114143
408	1.614106711
409	1.614098959
410	1.614093872
411	1.614088135
412	1.614084043
413	1.614078772
414	1.614076428
415	1.614075068
