iter	Passed	Remaining
0	600	599726
1	1075	536848
2	1261	419147
3	1427	355480
4	1579	314318
5	1741	288515
6	2043	289820
7	2274	282033
8	2471	272111
9	2692	266601
10	2867	257786
11	3010	247903
12	3181	241513
13	3389	238704
14	3703	243214
15	3823	235162
16	3887	224805
17	3953	215698
18	4026	207902
19	4079	199872
20	4135	192778
21	4281	190345
22	4583	194684
23	4749	193127
24	4850	189183
25	4917	184208
26	5010	180572
27	5086	176574
28	5173	173226
29	5255	169913
30	5395	168646
31	5483	165870
32	5575	163375
33	5724	162635
34	5811	160227
35	5914	158384
36	5997	156105
37	6087	154108
38	6165	151927
39	6262	150300
40	6332	148128
41	6448	147098
42	6549	145757
43	6624	143936
44	6709	142389
45	6776	140544
46	6843	138753
47	6894	136735
48	6947	134835
49	6995	132907
50	7065	131482
51	7115	129716
52	7165	128041
53	7218	126466
54	7275	125005
55	7320	123404
56	7387	122221
57	7440	120839
58	7499	119604
59	7574	118663
60	7644	117675
61	7745	117182
62	7845	116682
63	8062	117911
64	8155	117314
65	8337	117986
66	8437	117493
67	8605	117939
68	8774	118388
69	9069	120494
70	9359	122460
71	9531	122849
72	9724	123483
73	9927	124227
74	10152	125219
75	10628	129219
76	11073	132736
77	11255	133050
78	11593	135155
79	11683	134365
80	11783	133686
81	11898	133205
82	12151	134246
83	12475	136045
84	13239	142519
85	13606	144613
86	13802	144845
87	14152	146666
88	14771	151202
89	15174	153434
90	15394	153772
91	15619	154154
92	15981	155864
93	16306	157163
94	16459	156797
95	16646	156752
96	16760	156031
97	16994	156419
98	17118	155795
99	17428	156855
100	17599	156652
101	17774	156483
102	17881	155726
103	18054	155550
104	18272	155751
105	18396	155158
106	18549	154808
107	18640	153953
108	18758	153337
109	18838	152417
110	18903	151397
111	19029	150874
112	19130	150166
113	19226	149428
114	19335	148800
115	19464	148334
116	19535	147431
117	19660	146952
118	19748	146202
119	19824	145383
120	19932	144798
121	20073	144459
122	20204	144057
123	20293	143360
124	20403	142823
125	20507	142248
126	20639	141878
127	20869	142172
128	21018	141913
129	21129	141402
130	21207	140683
131	21273	139886
132	21340	139113
133	21474	138784
134	21554	138106
135	21618	137338
136	21756	137049
137	21828	136351
138	21891	135603
139	21951	134842
140	22051	134342
141	22129	133710
142	22212	133121
143	22290	132501
144	22380	131970
145	22440	131263
146	22501	130569
147	22588	130036
148	22667	129460
149	22798	129189
150	22902	128769
151	23003	128333
152	23116	127969
153	23266	127815
154	23383	127476
155	23461	126935
156	23513	126251
157	23571	125613
158	23649	125091
159	23704	124448
160	23769	123864
161	23831	123275
162	23883	122642
163	23936	122018
164	23986	121388
165	24038	120773
166	24090	120162
167	24170	119700
168	24292	119448
169	24390	119084
170	24487	118712
171	24565	118256
172	24676	117962
173	24753	117509
174	24884	117312
175	24998	117037
176	25082	116625
177	25170	116238
178	25349	116267
179	25628	116752
180	26138	118272
181	26522	119204
182	26754	119443
183	27036	119899
184	27268	120129
185	27479	120259
186	27631	120128
187	27906	120533
188	28116	120648
189	28411	121123
190	28689	121518
191	28960	121876
192	29125	121784
193	29340	121898
194	29459	121615
195	29579	121337
196	29882	121805
197	30223	122422
198	30465	122629
199	31019	124076
200	31542	125383
201	31909	126057
202	32014	125691
203	32211	125689
204	32377	125561
205	32582	125585
206	32781	125583
207	33049	125840
208	33298	126023
209	33556	126235
210	33695	125999
211	33901	126010
212	34051	125814
213	34178	125535
214	34368	125484
215	34567	125466
216	34947	126102
217	35259	126480
218	35611	126996
219	36083	127931
220	36453	128495
221	36776	128882
222	36904	128584
223	37072	128428
224	37283	128419
225	37449	128256
226	37607	128064
227	37896	128315
228	38059	128138
229	38208	127915
230	38392	127809
231	38576	127700
232	38808	127751
233	39122	128066
234	39342	128072
235	39638	128322
236	40022	128848
237	40259	128898
238	40907	130253
239	41426	131183
240	41781	131585
241	41953	131407
242	42197	131456
243	42406	131390
244	42530	131063
245	42706	130896
246	42847	130624
247	42937	130197
248	43050	129843
249	43288	129865
250	43486	129766
251	43752	129868
252	43829	129410
253	43929	129020
254	44052	128702
255	44162	128348
256	44264	127970
257	44339	127519
258	44474	127241
259	44556	126813
260	44636	126385
261	44756	126070
262	44906	125839
263	45004	125468
264	45134	125184
265	45206	124742
266	45279	124305
267	45355	123880
268	45448	123504
269	45523	123081
270	45635	122760
271	45856	122732
272	46087	122730
273	46250	122546
274	46619	122904
275	46978	123232
276	47154	123077
277	47371	123029
278	47524	122814
279	47722	122715
280	47952	122697
281	48068	122386
282	48157	122009
283	48301	121775
284	48400	121424
285	48494	121065
286	48760	121135
287	48904	120902
288	49060	120698
289	49227	120523
290	49519	120650
291	49641	120363
292	49741	120024
293	49826	119650
294	49905	119265
295	49994	118904
296	50064	118503
297	50132	118096
298	50191	117674
299	50299	117366
300	50374	116983
301	50450	116604
302	50535	116248
303	50620	115893
304	50684	115495
305	50809	115234
306	50913	114927
307	51145	114911
308	51256	114621
309	51354	114305
310	51459	114005
311	51562	113701
312	51650	113366
313	51779	113123
314	51851	112757
315	51906	112354
316	51986	112008
317	52115	111770
318	52194	111425
319	52267	111068
320	52320	110671
321	52380	110291
322	52456	109946
323	52517	109573
324	52598	109242
325	52681	108918
326	53064	109213
327	53294	109189
328	53376	108861
329	53456	108533
330	53599	108331
331	53677	108002
332	53798	107758
333	53890	107457
334	53962	107119
335	54028	106771
336	54104	106443
337	54187	106130
338	54263	105806
339	54349	105501
340	54418	105166
341	54487	104833
342	54553	104494
343	54634	104186
344	54699	103850
345	54766	103518
346	54835	103191
347	54935	102925
348	54999	102593
349	55049	102234
350	55104	101887
351	55181	101583
352	55236	101240
353	55297	100910
354	55360	100583
355	55417	100249
356	55488	99940
357	55545	99610
358	55601	99276
359	55679	98985
360	55761	98702
361	55846	98424
362	55973	98224
363	56050	97934
364	56123	97639
365	56202	97356
366	56317	97136
367	56418	96892
368	56518	96648
369	56604	96381
370	56728	96178
371	56801	95891
372	56870	95597
373	56958	95336
374	57090	95151
375	57169	94876
376	57262	94627
377	57384	94425
378	57478	94180
379	57550	93898
380	57626	93623
381	57744	93418
382	57862	93213
383	57967	92989
384	58064	92751
385	58178	92542
386	58305	92355
387	58468	92223
388	58576	92006
389	58741	91878
390	58894	91731
391	59015	91533
392	59155	91367
393	59332	91257
394	59493	91122
395	59612	90924
396	59761	90771
397	59899	90601
398	60024	90412
399	60093	90139
400	60195	89917
401	60265	89648
402	60339	89386
403	60426	89143
404	60503	88888
405	60573	88622
406	60640	88353
407	60721	88105
408	60819	87883
409	60909	87650
410	60979	87388
411	61066	87152
412	61135	86891
413	61223	86659
414	61440	86608
415	61591	86464
416	61809	86414
417	61920	86214
418	62023	86004
419	62156	85835
420	62376	85786
421	62559	85685
422	62670	85486
423	62810	85327
424	62875	85067
425	62969	84846
426	63041	84596
427	63143	84387
428	63247	84182
429	63354	83981
430	63425	83733
431	63517	83513
432	63583	83260
433	63638	82993
434	63695	82730
435	63791	82519
436	63852	82263
437	63925	82023
438	63978	81758
439	64052	81521
440	64121	81279
441	64176	81019
442	64242	80774
443	64338	80567
444	64392	80310
445	64455	80063
446	64527	79829
447	64711	79733
448	65009	79777
449	65096	79562
450	65178	79341
451	65251	79109
452	65350	78911
453	65439	78700
454	65560	78528
455	65634	78300
456	65860	78254
457	65920	78010
458	65985	77774
459	66046	77532
460	66117	77304
461	66193	77082
462	66257	76846
463	66391	76693
464	66473	76480
465	66538	76247
466	66623	76039
467	66704	75826
468	66754	75579
469	66819	75349
470	66890	75127
471	66953	74897
472	67030	74682
473	67103	74465
474	67209	74284
475	67306	74093
476	67389	73887
477	67485	73697
478	67580	73506
479	67678	73318
480	67748	73100
481	67816	72881
482	67900	72680
483	68048	72547
484	68132	72346
485	68202	72131
486	68297	71943
487	68465	71832
488	68538	71622
489	68604	71404
490	68776	71297
491	68952	71195
492	69064	71025
493	69134	70813
494	69211	70609
495	69353	70471
496	69460	70299
497	69608	70167
498	69665	69944
499	69712	69712
500	69764	69486
501	69823	69266
502	69893	69059
503	69963	68852
504	70027	68640
505	70118	68455
506	70198	68260
507	70292	68078
508	70357	67869
509	70454	67691
510	70620	67579
511	70753	67436
512	70887	67294
513	71194	67315
514	71568	67399
515	71820	67366
516	72014	67278
517	72117	67105
518	72241	66952
519	72450	66877
520	72531	66684
521	72592	66473
522	72651	66261
523	72716	66055
524	72842	65904
525	72982	65767
526	73082	65594
527	73196	65433
528	73309	65271
529	73459	65143
530	73699	65094
531	73860	64975
532	74047	64878
533	74216	64765
534	74368	64638
535	74501	64493
536	74602	64322
537	74697	64145
538	74763	63944
539	74841	63753
540	74916	63561
541	74977	63357
542	75068	63178
543	75212	63046
544	75336	62895
545	75447	62734
546	75551	62568
547	75713	62449
548	75896	62348
549	76018	62196
550	76185	62081
551	76328	61948
552	76478	61819
553	76592	61660
554	76660	61466
555	76747	61287
556	76836	61110
557	76920	60929
558	77060	60794
559	77181	60642
560	77283	60476
561	77400	60322
562	77532	60180
563	77636	60017
564	77719	59837
565	77818	59670
566	77886	59479
567	77941	59279
568	78009	59089
569	78087	58908
570	78163	58725
571	78228	58534
572	78332	58373
573	78453	58224
574	78527	58042
575	78637	57885
576	78780	57753
577	78933	57629
578	79069	57492
579	79201	57352
580	79366	57236
581	79696	57239
582	79812	57087
583	80000	56986
584	80110	56830
585	80183	56648
586	80275	56480
587	80343	56294
588	80429	56123
589	80596	56007
590	80680	55834
591	81103	55895
592	81360	55840
593	81679	55828
594	81883	55735
595	82086	55642
596	82283	55544
597	82419	55405
598	82511	55236
599	82832	55221
600	82998	55102
601	83166	54983
602	83400	54909
603	83609	54816
604	83773	54695
605	83887	54540
606	84033	54406
607	84139	54247
608	84234	54081
609	84405	53964
610	84508	53803
611	84588	53627
612	84741	53499
613	84839	53335
614	84926	53165
615	85015	52996
616	85223	52901
617	85705	52976
618	86091	52989
619	86379	52942
620	86640	52876
621	86781	52738
622	86922	52600
623	87005	52426
624	87173	52304
625	87295	52153
626	87382	51983
627	87499	51831
628	87594	51665
629	87692	51501
630	87807	51348
631	87907	51186
632	88001	51021
633	88135	50879
634	88245	50724
635	88475	50636
636	88613	50497
637	88667	50309
638	88728	50126
639	88787	49943
640	88836	49754
641	88882	49563
642	88953	49387
643	89031	49216
644	89084	49031
645	89133	48843
646	89198	48666
647	89285	48500
648	89351	48324
649	89451	48166
650	89531	47997
651	89591	47818
652	89684	47657
653	89764	47490
654	89854	47327
655	89915	47150
656	89980	46976
657	90041	46799
658	90102	46623
659	90190	46461
660	90247	46284
661	90309	46109
662	90378	45939
663	90448	45769
664	90516	45598
665	90576	45424
666	90634	45249
667	90732	45094
668	90792	44921
669	90870	44756
670	90972	44604
671	91033	44433
672	91089	44258
673	91141	44083
674	91200	43911
675	91264	43742
676	91320	43569
677	91377	43397
678	91423	43220
679	91492	43055
680	91539	42879
681	91595	42708
682	91673	42548
683	91734	42380
684	91868	42246
685	92063	42139
686	92192	42003
687	92365	41886
688	92426	41719
689	92500	41558
690	92575	41397
691	92666	41244
692	92751	41088
693	92822	40927
694	92881	40761
695	92953	40600
696	93028	40441
697	93089	40276
698	93171	40120
699	93233	39957
700	93330	39808
701	93410	39652
702	93477	39492
703	93567	39340
704	93634	39180
705	93687	39014
706	93741	38849
707	93797	38685
708	93869	38527
709	93915	38359
710	93966	38194
711	94031	38035
712	94089	37873
713	94169	37720
714	94224	37557
715	94296	37402
716	94347	37238
717	94402	37077
718	94448	36912
719	94500	36750
720	94599	36606
721	94669	36451
722	94737	36296
